"Landing page type","Landing page path","Online store visitors","Sessions","Sessions with cart additions","Sessions that reached checkout"
,"/en-ca/collections/slim",6,9,0,0
"Collection","/collections/tops/Jacket",9,9,0,0
"Product","/products/brando-parisian-luxe-twilight",9,9,0,0
,"/en-ca/products/preston-blanc",8,8,0,0
,"/en-au/collections/sale-2",6,8,0,0
,"/en-cn/products/preston-coated-noir",8,8,0,0
"Product","/products/dann-shirt-verdant",8,8,0,0
"Product","/products/dean-steel",8,8,0,0
"Product","/products/travis-sage",8,8,0,0
,"/en-hk",8,8,0,0
,"/en-cn/products/dean-patent-noir",8,8,0,0
"Product","/products/deniro-vintage-blanc",8,8,0,0
"Product","/products/dean-jacket-sandstorm",8,8,0,0
,"/en-cn/products/brando-noir",8,8,0,0
,"/en-jp",8,8,0,0
,"/en-cn/products/dean-khaki",8,8,0,0
,"/en-cn/products/pierce-noir-1",8,8,0,0
"Product","/products/travis-grey",8,8,0,0
,"/en-cn/collections/sale-2",8,8,0,0
,"/en-cn/products/brando-tinted-indigo",8,8,0,0
,"/en-cn/products/jalen-vintage-leopard",8,8,0,0
,"/en-au/collections/tops",7,8,0,0
,"/en-au/products/bond-shirt-leather-noir",8,8,0,0
,"/en-cn/products/greyson-slash-vintage",8,8,0,0
"List of Collections","/products",8,8,0,0
"Checkout","/checkouts/cn/Z2NwLXVzLWNlbnRyYWwxOjAxSlI1Tjc1WDlIMFZBTTJOSFhKODNFNEZQ",8,8,0,0
,"/en-ae/products/clint-coated-noir",8,8,0,0
,"/checkout/21851111488/cn/hWN7CMRRhsM95luxketwVwcU/en-ca/shoppay",7,8,0,8
,"/en-cn/products/pierce-terry-light-grey",7,7,0,0
,"/en-cn/products/brando-short-vintage-blanc",7,7,0,0
,"/en-cn/products/eastwood-navy",7,7,0,0
"Collection","/collections/brando-french-terry",7,7,0,0
,"/en-cn/products/hendrix-calabasas",7,7,0,0
,"/en-cn/products/greyson-ash",7,7,0,0
,"/en-cn/collections/sateen",7,7,0,0
,"/en-cn/products/brando-st-barths",7,7,0,0
"Product","/products/dean-jacket-vin-wax-coated",7,7,0,0
,"/en-tw",7,7,0,0
,"/en-ch/products/brando-vintage",7,7,0,0
,"/en-cn/products/brando-short-mineral-green",7,7,0,0
"Checkout","/checkouts/cn/hWNALIkEFfZGOHLmsUDETeIj/en-us",1,7,0,7
,"/en-ca/products/brando-noir-needle-cord",7,7,0,0
"Product","/products/brando-parisian-luxe-fiji",7,7,0,0
"Product","/products/brando-parisian-luxe-pastel-pink",7,7,0,0
"Product","/products/kobe-short-saint-germain",7,7,0,0
,"/en-cn/collections/rigid-denim",7,7,0,0
,"/en-ae/products/bond-polo-crepe-noir",7,7,0,0
"Product","/products/milano-noir",7,7,0,0
,"/en-cn/products/maverick-suede-noir",7,7,0,0
,"/en-cn/pages/vip-placements-2",7,7,0,0
,"/en-cn/products/west-coated-noir",7,7,0,0
,"/en-cn/products/bond-shirt-silk-ivory",7,7,0,0
"Custom Page","/pages/returns-exchanges",7,7,0,0
,"/en-ie",7,7,0,0
"Product","/products/brando-chrysler",7,7,0,0
"Product","/products/bond-polo-taupe",7,7,0,0
"Collection","/collections/noir-styles",7,7,0,0
"Product","/products/brando-vintage",7,7,0,0
"Product","/products/greyson-noir-nosto-test",7,7,0,0
,"/en-no",7,7,0,0
