# ----------------------------------------
# User acquisition: First user primary channel group (Default Channel Group)
# Account: MONFRERE
# Property: MONFRERE
# ----------------------------------------
# 
# All Users
# Start date: 20240101
# End date: 20241231
First user primary channel group (Default Channel Group),Week,Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
Paid Social,24,386,1,170,26.427055702917773,1.1644562334217508,7578,0,0
Organic Search,05,385,333,113,105.24258760107817,1.1293800539083558,9581,8,0.018867924528301886
Organic Search,35,385,342,71,82.2565445026178,1.149214659685864,11436,8,0.013089005235602094
Direct,40,382,248,132,60.43121693121693,1.1534391534391535,9806,9,0.015873015873015872
Email,11,381,181,133,63.57519788918206,1.4432717678100264,10109,10,0.026385224274406333
Organic Search,39,380,336,83,103.09210526315789,1.194736842105263,14411,14,0.02631578947368421
Organic Search,48,370,281,129,145.57567567567568,1.372972972972973,22166,19,0.04594594594594595
Organic Search,45,367,325,82,92.6456043956044,1.2005494505494505,12766,6,0.016483516483516484
Organic Search,29,366,282,79,76.47107438016529,1.1818181818181819,8044,14,0.03581267217630854
Organic Search,37,365,308,90,90.27397260273973,1.180821917808219,12577,11,0.019178082191780823
Cross-network,49,363,337,48,55.22865013774105,1.1515151515151516,7958,7,0.01928374655647383
Direct,51,363,252,119,70.77871148459384,1.246498599439776,11792,16,0.04201680672268908
Organic Search,04,361,303,92,93.39428571428572,1.0142857142857142,7952,12,0.03142857142857143
Cross-network,51,351,320,53,53.98850574712644,1.2270114942528736,7972,9,0.02586206896551724
Direct,29,351,241,73,37.03478260869565,1.0260869565217392,4849,6,0.017391304347826087
Paid Shopping,43,347,336,21,31.471098265895954,1.060693641618497,5432,7,0.02023121387283237
Organic Search,40,345,294,66,83.06432748538012,1.1228070175438596,11344,17,0.03216374269005848
Organic Search,44,343,293,83,80.86764705882354,1.1911764705882353,10701,9,0.023529411764705882
Email,31,340,276,81,56.92878338278932,1.053412462908012,5443,9,0.020771513353115726
Paid Search,11,340,138,110,100,1.326470588235294,11400,4,0.011764705882352941
Direct,46,338,233,103,59.859756097560975,1.2439024390243902,10130,18,0.04878048780487805
Paid Search,10,336,172,99,113.00903614457832,1.4066265060240963,12196,8,0.024096385542168676
Paid Search,26,336,151,71,40.6955223880597,1.226865671641791,6719,5,0.014925373134328358
Direct,44,335,247,91,51.69908814589666,1.1671732522796352,7250,4,0.0121580547112462
Cross-network,50,331,302,47,40.76060606060606,1.1424242424242423,6330,3,0.00909090909090909
Direct,53,327,241,84,58.18827160493827,1.1574074074074074,8785,15,0.043209876543209874
Organic Search,24,327,133,110,71.93146417445483,1.4049844236760125,8918,14,0.040498442367601244
Organic Search,30,327,282,70,90.48447204968944,1.2267080745341614,7856,9,0.027950310559006212
Paid Social,20,327,112,93,35.73076923076923,1.0544871794871795,6823,2,0.00641025641025641
Organic Search,41,324,268,94,90.88473520249221,1.2741433021806854,11974,14,0.037383177570093455
Email,05,318,200,160,101.74918566775244,1.3192182410423452,8232,13,0.03908794788273615
Email,12,317,139,103,50.39365079365079,1.3460317460317461,7176,0,0
Organic Social,29,313,286,19,8.420711974110032,0.4401294498381877,2061,0,0
Email,52,312,196,129,62.8525641025641,1.2307692307692308,8380,6,0.019230769230769232
Paid Search,24,311,139,71,68.24595469255664,1.168284789644013,7905,5,0.016181229773462782
Paid Social,07,311,279,39,26.59468438538206,0.7740863787375415,2985,2,0.006644518272425249
Cross-network,20,306,179,29,25.313725490196077,1.0392156862745099,3676,2,0.006535947712418301
Email,16,304,82,133,72.48172757475083,1.4717607973421927,9475,8,0.026578073089700997
Organic Search,09,303,243,89,108.59515570934256,1.1280276816608996,7080,8,0.02768166089965398
Email,30,301,220,102,102.18120805369128,1.332214765100671,8413,18,0.06040268456375839
Paid Search,23,301,141,79,58.01,1.2733333333333334,7346,7,0.023333333333333334
Email,35,297,231,72,74.63636363636364,1.1750841750841752,8513,13,0.04040404040404041
Cross-network,48,294,275,36,78.17687074829932,1.098639455782313,8315,11,0.03741496598639456
Organic Social,14,290,205,5,5.3,1.013793103448276,1957,0,0
Paid Social,06,278,221,51,29.683397683397683,0.7837837837837838,2866,1,0
Paid Search,48,265,223,64,132.95437262357413,1.2281368821292775,15090,21,0.07224334600760456
Organic Search,31,262,209,80,99.59386973180077,1.2873563218390804,6619,5,0.019157088122605363
Email,06,261,173,119,102.38866396761134,1.1821862348178138,6963,8,0.032388663967611336
Cross-network,01,256,236,47,52.82142857142857,1.0753968253968254,4051,3,0.007936507936507936
Email,23,254,56,116,60.03162055335969,1.5296442687747036,6541,9,0.03557312252964427
Organic Search,49,252,183,86,109.76209677419355,1.3709677419354838,10050,8,0.03225806451612903
Organic Search,01,250,209,73,114.81557377049181,1.2008196721311475,6293,4,0.01639344262295082
Paid Search,27,246,102,67,57.012244897959185,1.2408163265306122,6240,5,0.02040816326530612
Email,34,240,174,78,58.8744769874477,1.205020920502092,5651,6,0.016736401673640166
Paid Search,21,240,107,46,73.29583333333333,1.1583333333333334,5420,5,0.020833333333333332
Cross-network,31,235,207,36,25.536480686695278,1.0085836909871244,2217,2,0.008583690987124463
Paid Search,49,235,189,67,150.89699570815452,1.257510729613734,12412,14,0.060085836909871244
SMS,17,231,113,64,110.53679653679653,1.5887445887445888,9654,4,0.017316017316017316
Organic Search,50,227,176,71,84.33482142857143,1.2678571428571428,7979,2,0.008928571428571428
Cross-network,53,226,194,43,65.25446428571429,1.2410714285714286,6320,7,0.03125
Organic Search,32,225,167,68,104.74774774774775,1.2882882882882882,5981,6,0.02702702702702703
Organic Search,43,224,187,49,74.14414414414415,1.1126126126126126,6783,4,0.018018018018018018
Paid Search,04,224,188,71,138.42660550458714,1.128440366972477,6964,14,0.05504587155963303
Organic Search,52,223,175,64,78.62331838565022,1.3273542600896862,7255,5,0.02242152466367713
Paid Search,22,218,84,33,40.46788990825688,1.1422018348623852,4392,3,0.013761467889908258
Organic Search,51,217,164,64,105.84331797235023,1.2903225806451613,8889,2,0.009216589861751152
