Raw Product String,Parsed_Fabric,Parsed_Body,Parsed_Color,Parsed_Size
Greyson Coated Bourdeaux - 30,Coated,Greyson,Bourdeaux,Unknown
Greyson Coated Noir - 30,Coated,Greyson,Noir,Unknown
Greyson Coated Noir - 28 / Coated Noir,Coated,Greyson,Noir,Coated Noir
Greyson Coated Noir - Coated Noir / 31,Coated,Greyson,Noir,31
Greyson Coated London - 34,Coated,Greyson,London,Unknown
Greyson Coated Malachite Python - 34,Coated,Greyson,Malachite Python,Unknown
Greyson Coated Noir - 33,Coated,Greyson,Noir,Unknown
Greyson Coated Noir - 28,Coated,Greyson,Noir,Unknown
Greyson Coated Bourdeaux - 34,Coated,Greyson,Bourdeaux,Unknown
Greyson Coated Malachite - 30,Coated,Greyson,Malachite,Unknown
Greyson Coated Malachite Python - Malachite Python / 38,Coated,Greyson,Malachite Python,38
Greyson Coated Red Leopard - Coated Red Leopard / 36,Coated,Greyson,Red Leopard,36
Greyson Coated Malachite Python - 32,Coated,Greyson,Malachite Python,Unknown
Greyson Coated Bourdeaux - 31,Coated,Greyson,Bourdeaux,Unknown
Greyson Coated Red Leopard - Coated Red Leopard / 33,Coated,Greyson,Red Leopard,33
Greyson Coated London - 29,Coated,Greyson,London,Unknown
Greyson Coated Noir - Coated Noir / 34,Coated,Greyson,Noir,34
Greyson Coated Malachite - Coated Malachite / 30,Coated,Greyson,Malachite,30
Greyson Coated Malachite - 38,Coated,Greyson,Malachite,Unknown
Greyson Coated London - 31,Coated,Greyson,London,Unknown
Greyson Coated Malachite Python - Malachite Python / 33,Coated,Greyson,Malachite Python,33
Greyson Coated Noir - Coated Noir / 33,Coated,Greyson,Noir,33
Greyson Coated Noir - Coated Noir / 38,Coated,Greyson,Noir,38
Greyson Coated Noir - 29,Coated,Greyson,Noir,Unknown
Greyson Coated Noir - 30 / Coated Noir,Coated,Greyson,Noir,Coated Noir
Greyson Coated Noir - Coated Noir / 28,Coated,Greyson,Noir,28
Greyson Coated Noir - 34 / Coated Noir,Coated,Greyson,Noir,Coated Noir
Greyson Coated Malachite Python - 30,Coated,Greyson,Malachite Python,Unknown
Greyson Coated Noir - 36,Coated,Greyson,Noir,Unknown
Greyson Coated Red Leopard - Coated Red Leopard / 28,Coated,Greyson,Red Leopard,28
Greyson Coated Red Leopard - Coated Red Leopard / 31,Coated,Greyson,Red Leopard,31
Greyson Coated Malachite Python - Malachite Python / 36,Coated,Greyson,Malachite Python,36
Greyson Coated Malachite Python - Malachite Python / 29,Coated,Greyson,Malachite Python,29
Greyson Coated Noir - Coated Noir / 32,Coated,Greyson,Noir,32
Greyson Coated Malachite - 28,Coated,Greyson,Malachite,Unknown
Greyson Coated London - 30,Coated,Greyson,London,Unknown
Greyson Coated Malachite - Coated Malachite / 32,Coated,Greyson,Malachite,32
Greyson Coated Malachite Python - Malachite Python / 31,Coated,Greyson,Malachite Python,31
Greyson Coated Red Leopard - Coated Red Leopard / 32,Coated,Greyson,Red Leopard,32
Pre-Order Dean Jacket Vin Wax Coated - Vintage Waxed Coated / XXL,Coated,Pre-Order Dean Jacket Vin Wax,Vintage Waxed Coated,XXL
Pre-Order Dean Jacket Vin Wax Coated - Vintage Waxed Coated / S,Coated,Pre-Order Dean Jacket Vin Wax,Vintage Waxed Coated,S
Preston Coated Chocolate - 29,Coated,Preston,Chocolate,Unknown
Preston Coated Malachite - Coated Malachite / 32,Coated,Preston,Malachite,32
Preston Coated Noir - Noir / 33,Coated,Preston,Noir,33
Preston Coated Red Leopard - Coated Red Leopard / 32,Coated,Preston,Red Leopard,32
Preston Coated Verdant - 29,Coated,Preston,Verdant,Unknown
Preston Coated Toffee - 31,Coated,Preston,Toffee,Unknown
Preston Coated Green Leopard - 28,Coated,Preston,Green Leopard,Unknown
Preston Coated Noir - 33 / Noir,Coated,Preston,Noir,Noir
Preston Coated Moon Rock - 30,Coated,Preston,Moon Rock,Unknown
Preston Coated Toffee - 32,Coated,Preston,Toffee,Unknown
Preston Coated Toffee - 33,Coated,Preston,Toffee,Unknown
Preston Coated Moon Rock - 28,Coated,Preston,Moon Rock,Unknown
Preston Coated Malachite - 34,Coated,Preston,Malachite,Unknown
Preston Coated Noir - Noir / 32,Coated,Preston,Noir,32
Preston Coated Noir - 40 / Noir,Coated,Preston,Noir,Noir
Preston Coated Noir - Noir / 40,Coated,Preston,Noir,40
Preston Coated Noir - Noir / 29,Coated,Preston,Noir,29
Preston Coated Merlot - Coated Merlot / 28,Coated,Preston,Merlot,28
Preston Coated Toffee,Coated,Preston,Toffee,Unknown
Preston Coated Chocolate - 33,Coated,Preston,Chocolate,Unknown
Preston Coated Noir - Noir / 28,Coated,Preston,Noir,28
Preston Coated Malachite - 38,Coated,Preston,Malachite,Unknown
Preston Coated Verdant,Coated,Preston,Verdant,Unknown
Preston Coated Noir - Noir / 34,Coated,Preston,Noir,34
Preston Coated Merlot - 30,Coated,Preston,Merlot,Unknown
Preston Coated Malachite - 36,Coated,Preston,Malachite,Unknown
Preston Coated Moon Rock - 38,Coated,Preston,Moon Rock,Unknown
Preston Coated Malachite - Coated Malachite / 29,Coated,Preston,Malachite,29
Preston Coated Green Leopard - Coated Green Leopard / 38,Coated,Preston,Green Leopard,38
Preston Coated Chocolate - 28,Coated,Preston,Chocolate,Unknown
Preston Coated Moon Rock - 33,Coated,Preston,Moon Rock,Unknown
Preston Coated Malachite - 32,Coated,Preston,Malachite,Unknown
Preston Coated Noir - 33,Coated,Preston,Noir,Unknown
Preston Coated Toffee - 34,Coated,Preston,Toffee,Unknown
Preston Coated Green Leopard - Coated Green Leopard / 28,Coated,Preston,Green Leopard,28
Preston Coated Merlot - 34,Coated,Preston,Merlot,Unknown
Preston Coated Red Leopard - Coated Red Leopard / 30,Coated,Preston,Red Leopard,30
Preston Coated Noir - 36 / Noir,Coated,Preston,Noir,Noir
Preston Coated Malachite - Coated Malachite / 30,Coated,Preston,Malachite,30
Preston Coated Moon Rock - 29,Coated,Preston,Moon Rock,Unknown
Preston Coated Merlot - 33,Coated,Preston,Merlot,Unknown
Preston Coated Moon Rock - 31,Coated,Preston,Moon Rock,Unknown
Preston Coated Noir - 38,Coated,Preston,Noir,Unknown
Preston Coated Noir - Noir / 30,Coated,Preston,Noir,30
Preston Coated Malachite - 30,Coated,Preston,Malachite,Unknown
Preston Coated Red Leopard - Coated Red Leopard / 33,Coated,Preston,Red Leopard,33
Preston Coated Toffee - 36,Coated,Preston,Toffee,Unknown
Preston Coated Noir - 31,Coated,Preston,Noir,Unknown
Preston Coated Malachite - 40,Coated,Preston,Malachite,Unknown
Preston Coated Noir - 30 / Noir,Coated,Preston,Noir,Noir
