# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: MONFRERE
# Property: MONFRERE
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20251212
Session primary channel group (Default Channel Group),Week,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Cross-network,09,438,415,0.9474885844748858,49.273972602739725,16.735159817351597,7330,15,0.03424657534246575,7054.69
Direct,42,436,231,0.5298165137614679,38.04587155963303,9.73165137614679,4243,26,0.05963302752293578,3461.02
Organic Search,37,432,316,0.7314814814814815,72.38425925925925,16.546296296296298,7148,14,0.032407407407407406,4474.13
Paid Social,40,432,199,0.46064814814814814,19.39814814814815,9,3888,6,0.013888888888888888,1475.47
Email,19,428,404,0.9439252336448598,50.05140186915888,12.61448598130841,5399,20,0.04205607476635514,4268.12
Organic Social,45,426,225,0.528169014084507,7.880281690140845,7.204225352112676,3069,2,0.002347417840375587,666.96
Email,06,424,396,0.9339622641509434,45.8561320754717,16.181603773584907,6861,22,0.05188679245283019,4697.45
Paid Social,44,422,183,0.43364928909952605,15.618483412322275,7.978672985781991,3367,5,0.0071090047393364926,1191.46
Direct,46,421,206,0.48931116389548696,26.489311163895486,10.216152019002376,4301,14,0.021377672209026127,3821.11
Organic Search,36,421,300,0.7125890736342043,71.57957244655582,15.91686460807601,6701,22,0.052256532066508314,5125.24
Cross-network,21,419,395,0.9427207637231504,49.24821002386635,12.83293556085919,5377,19,0.0405727923627685,4618.88
Email,34,419,398,0.9498806682577565,40.15751789976134,10.8854415274463,4561,11,0.026252983293556086,1959.64
Organic Search,35,418,363,0.868421052631579,66.54066985645933,16.5622009569378,6923,20,0.04784688995215311,4973.07
Email,04,417,388,0.9304556354916067,53.76019184652278,21.21103117505995,8845,3,0.007194244604316547,977.1
Referral,13,416,379,0.9110576923076923,10.603365384615385,5.997596153846154,2495,3,0.007211538461538462,1399.96
Cross-network,06,408,396,0.9705882352941176,40.15196078431372,16.33823529411765,6666,8,0.0196078431372549,1271.7
Referral,16,402,374,0.9303482587064676,26.833333333333332,9.422885572139304,3788,0,0,0
Direct,41,398,198,0.49748743718592964,31.650753768844222,11.321608040201005,4506,23,0.05527638190954774,5907.65
