"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (USD)",Purchases,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Meta leads","Purchase ROAS (return on ad spend)","Campaign name"
2023-02-05,2026-03-05,"BF - Catalog - View / Add to Cart 02",archived,1,actions:offsite_conversion.fb_pixel_purchase,282.82,"Using campaign budget",0,282.82,16005,10832,1.477566,17.670728,1,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Bottom Funnel - Catalog - Add to Cart 02",,0.876883,"BOTTOM FUNNEL - Catalog 02"
2023-02-05,2026-03-05,"BF - Upsell Catalog 02",archived,,,,"Using campaign budget",0,26.57,733,328,2.234756,36.248295,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Bottom Funnel - Catalog - Upsell 02",,,"BOTTOM FUNNEL - Catalog 02"
2023-02-05,2026-03-05,"MF - Conv - Carousel 02",archived,,,,70,Daily,101.42,3847,2670,1.440824,26.3634,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - MOF - All Website Visitors +PV +CV",,,"C12 - Remarketing"
2023-02-05,2026-03-05,"Instagram post: Classic style that never fades...",archived,,,,"Using campaign budget",0,15,1813,1582,1.146018,8.27358,,2023-03-23,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Instagram Post",,,"Instagram post: Classic style that never fades..."
2023-02-05,2026-03-05,"Boosted Post - 03/20/23",archived,308,actions:post_engagement,0.09266234,3,Daily,28.54,1868,1604,1.164589,15.278373,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-08-04T20:55:44-0700,-,-,-,"Boosted Post Followers",,,"CONTENT BOOSTING"
2023-02-05,2026-03-05,"BF - 360 Video",archived,1,actions:offsite_conversion.fb_pixel_purchase,53.1,50,Daily,53.1,939,596,1.575503,56.549521,1,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Bottom Funnel - 360 - Retargeting",,5.612053,"BOTTOM FUNNEL - 360 Retargeting"
2023-02-05,2026-03-05,"BF - 360 Video",archived,,,,100,Daily,24.97,321,231,1.38961,77.788162,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Bottom Funnel - 360 Retargeting",,,"BOTTOM FUNNEL - 360 Retargeting"
2023-02-05,2026-03-05,"BF - 360 Catalog - Shop",archived,,,,100,Daily,27.16,445,353,1.260623,61.033708,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Bottom Funnel - 360 Retargeting",,,"BOTTOM FUNNEL - 360 Retargeting"
2023-02-05,2026-03-05,"BF - 360 Catalog - Cold",archived,,,,100,Daily,28.22,720,632,1.139241,39.194444,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Bottom Funnel - 360 Cold",,,"BOTTOM FUNNEL - 360 Cold"
2023-02-05,2026-03-05,"BF - 360 Cold Video Cold",archived,,,,100,Daily,8.46,213,199,1.070352,39.71831,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Bottom Funnel - 360 Cold",,,"BOTTOM FUNNEL - 360 Cold"
2023-02-05,2026-03-05,"BF - 360 Video",archived,,,,"Using campaign budget",0,0.06,1,1,1,60,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Bottom Funnel - 360 Retargeting - 01",,,"BOTTOM FUNNEL - 360 - Retargeting"
2023-02-05,2026-03-05,"BF - 360 Catalog - Shop",archived,,,,"Using campaign budget",0,7.61,153,110,1.390909,49.738562,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Bottom Funnel - 360 Retargeting - 01",,,"BOTTOM FUNNEL - 360 - Retargeting"
2023-02-05,2026-03-05,"BF - 360 Cold Video Cold",archived,,,,"Using campaign budget",0,0.08,5,5,1,16,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Bottom Funnel - 360 Cold - 01",,,"BOTTOM FUNNEL - 360 - Cold"
2023-02-05,2026-03-05,"BF - 360 Catalog - Cold",archived,,,,"Using campaign budget",0,4.48,123,96,1.28125,36.422764,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Bottom Funnel - 360 Cold - 01",,,"BOTTOM FUNNEL - 360 - Cold"
2023-02-05,2026-03-05,"BF - 360 Cold Video Cold",archived,,,,"Using campaign budget",0,0.19,12,12,1,15.833333,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Bottom Funnel - 360 Cold - 10",,,"BOTTOM FUNNEL - 360 - Cold"
2023-02-05,2026-03-05,"BF - 360 Cold Video Cold",archived,,,,"Using campaign budget",0,0.42,20,15,1.333333,21,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Bottom Funnel - 360 Cold - 08",,,"BOTTOM FUNNEL - 360 - Cold"
