Day,"Campaign name","Ad set name","Ad name","Page name",Ads,Gender,Age,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (USD)","Cost per result",Starts,Ends,"Reporting starts","Reporting ends"
2024-12-24,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,35-44,archived,ad,6,7,1.16666667,"7-day click or 1-day view","Post engagements",1,0.03,0.03,2023-03-20,Ongoing,2024-12-24,2024-12-24
2024-12-24,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,unknown,18-24,archived,ad,50,51,1.02,"7-day click or 1-day view","Post engagements",8,0.5,0.0625,2023-03-20,Ongoing,2024-12-24,2024-12-24
2024-12-24,MF_TRAFFIC,MF_TRAFFIC_CATALOGUE,CATALOGUE_SLIDESHOW,MONFRÈRE,CATALOGUE_SLIDESHOW,unknown,55-64,archived,ad,0,0,0,"7-day click or 1-day view",actions:omni_landing_page_view,2,0,0,2024-08-19,Ongoing,2024-12-24,2024-12-24
2024-12-24,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,25-34,archived,ad,411,420,1.02189781,"7-day click or 1-day view","Post engagements",80,4.58,0.05725,2023-03-20,Ongoing,2024-12-24,2024-12-24
2024-12-23,MF_TRAFFIC,MF_TRAFFIC_CATALOGUE,CATALOGUE,MONFRÈRE,CATALOGUE,unknown,55-64,archived,ad,14,14,1,"7-day click or 1-day view",,,0.11,,2024-08-19,Ongoing,2024-12-23,2024-12-23
2024-12-23,MF_TRAFFIC,MF_TRAFFIC_CATALOGUE,CATALOGUE,MONFRÈRE,CATALOGUE,male,45-54,archived,ad,344,399,1.15988372,"7-day click or 1-day view",actions:omni_landing_page_view,20,2.09,0.1045,2024-08-19,Ongoing,2024-12-23,2024-12-23
2024-12-23,MF_TRAFFIC,MF_TRAFFIC_CATALOGUE,CATALOGUE,MONFRÈRE,CATALOGUE,male,35-44,archived,ad,948,1016,1.07172996,"7-day click or 1-day view",actions:omni_landing_page_view,22,5.17,0.235,2024-08-19,Ongoing,2024-12-23,2024-12-23
2024-12-23,MF_TRAFFIC,MF_TRAFFIC_CATALOGUE,CATALOGUE,MONFRÈRE,CATALOGUE,male,65+,archived,ad,242,271,1.11983471,"7-day click or 1-day view",actions:omni_landing_page_view,8,1.78,0.2225,2024-08-19,Ongoing,2024-12-23,2024-12-23
2024-12-23,MF_TRAFFIC,MF_TRAFFIC_CATALOGUE,CATALOGUE,MONFRÈRE,CATALOGUE,male,25-34,archived,ad,1304,1464,1.12269939,"7-day click or 1-day view",actions:omni_landing_page_view,60,7.56,0.126,2024-08-19,Ongoing,2024-12-23,2024-12-23
2024-12-23,MF_TRAFFIC,MF_TRAFFIC_CATALOGUE,CATALOGUE,MONFRÈRE,CATALOGUE,male,18-24,archived,ad,718,767,1.06824513,"7-day click or 1-day view",actions:omni_landing_page_view,25,3.83,0.1532,2024-08-19,Ongoing,2024-12-23,2024-12-23
2024-12-23,MF_TRAFFIC,MF_TRAFFIC_CATALOGUE,CATALOGUE,MONFRÈRE,CATALOGUE,unknown,35-44,archived,ad,112,119,1.0625,"7-day click or 1-day view",actions:omni_landing_page_view,2,0.77,0.385,2024-08-19,Ongoing,2024-12-23,2024-12-23
2024-12-23,MF_TRAFFIC,MF_TRAFFIC_CATALOGUE,CATALOGUE,MONFRÈRE,CATALOGUE,female,25-34,archived,ad,112,117,1.04464286,"7-day click or 1-day view",actions:omni_landing_page_view,7,0.66,0.09428571,2024-08-19,Ongoing,2024-12-23,2024-12-23
2024-12-23,MF_TRAFFIC,MF_TRAFFIC_CATALOGUE,CATALOGUE,MONFRÈRE,CATALOGUE,female,45-54,archived,ad,26,26,1,"7-day click or 1-day view",actions:omni_landing_page_view,1,0.07,0.07,2024-08-19,Ongoing,2024-12-23,2024-12-23
2024-12-23,"CONTENT BOOSTING","Boosted Post Followers",10.02.2024,MONFRÈRE,10.02.2024,unknown,35-44,archived,ad,5,5,1,"7-day click or 1-day view",,,0.05,,2023-03-20,Ongoing,2024-12-23,2024-12-23
2024-12-23,MF_TRAFFIC,MF_TRAFFIC_CATALOGUE,CATALOGUE,MONFRÈRE,CATALOGUE,male,55-64,archived,ad,266,286,1.07518797,"7-day click or 1-day view",actions:omni_landing_page_view,8,2.13,0.26625,2024-08-19,Ongoing,2024-12-23,2024-12-23
2024-12-23,MF_TRAFFIC,MF_TRAFFIC_CATALOGUE,CATALOGUE,MONFRÈRE,CATALOGUE,female,35-44,archived,ad,40,46,1.15,"7-day click or 1-day view",actions:omni_landing_page_view,1,0.23,0.23,2024-08-19,Ongoing,2024-12-23,2024-12-23
2024-12-23,MF_TRAFFIC,MF_TRAFFIC_CATALOGUE,CATALOGUE,MONFRÈRE,CATALOGUE,unknown,65+,archived,ad,8,12,1.5,"7-day click or 1-day view",,,0.14,,2024-08-19,Ongoing,2024-12-23,2024-12-23
